Labels	quencher 1.5 mM		
Type	Time Scan	
Comment		
start(nm)	0.00	
stop(nm)	999.02340	
step(nm)	0.976563	
fixed/offset(nm)	 	
Xaxis	Time	
Yaxis	Counts	
0.00	0.000E+0	
0.976563	0.000E+0	
1.953125	2.000E+0	
2.929688	0.000E+0	
3.906250	0.000E+0	
4.882813	0.000E+0	
5.859375	0.000E+0	
6.835938	1.000E+0	
7.81250	1.000E+0	
8.789063	2.000E+0	
9.765625	1.000E+0	
10.742188	0.000E+0	
11.718750	0.000E+0	
12.695313	0.000E+0	
13.671875	0.000E+0	
14.648438	0.000E+0	
15.6250	0.000E+0	
16.601563	0.000E+0	
17.578125	2.000E+0	
18.554688	2.000E+0	
19.531250	1.000E+0	
20.507813	1.000E+0	
21.484375	0.000E+0	
22.460938	0.000E+0	
23.43750	1.000E+0	
24.414063	2.000E+0	
25.390625	0.000E+0	
26.367188	0.000E+0	
27.343750	0.000E+0	
28.320313	2.000E+0	
29.296875	2.000E+0	
30.273438	1.000E+0	
31.250	1.000E+0	
32.226563	1.000E+0	
33.203125	1.000E+0	
34.179688	1.000E+0	
35.156250	0.000E+0	
36.132813	0.000E+0	
37.109375	0.000E+0	
38.085938	1.000E+0	
39.06250	0.000E+0	
40.039063	0.000E+0	
41.015625	1.000E+0	
41.992188	0.000E+0	
42.968750	0.000E+0	
43.945313	0.000E+0	
44.921875	1.000E+0	
45.898438	0.000E+0	
46.8750	2.000E+0	
47.851563	1.000E+0	
48.828125	2.000E+0	
49.804688	0.000E+0	
50.781250	1.000E+0	
51.757813	0.000E+0	
52.734375	2.000E+0	
53.710938	1.000E+0	
54.68750	1.000E+0	
55.664063	2.000E+0	
56.640625	1.000E+0	
57.617188	2.000E+0	
58.593750	2.000E+0	
59.570313	1.000E+1	
60.546875	9.500E+1	
61.523438	5.350E+2	
62.50	1.364E+3	
63.476563	1.822E+3	
64.453125	2.000E+3	
65.429688	1.935E+3	
66.406250	1.814E+3	
67.382813	1.730E+3	
68.359375	1.660E+3	
69.335938	1.532E+3	
70.31250	1.414E+3	
71.289063	1.354E+3	
72.265625	1.284E+3	
73.242188	1.146E+3	
74.218750	1.119E+3	
75.195313	9.990E+2	
76.171875	9.830E+2	
77.148438	9.330E+2	
78.1250	9.050E+2	
79.101563	7.820E+2	
80.078125	7.950E+2	
81.054688	7.860E+2	
82.031250	7.670E+2	
83.007813	6.880E+2	
83.984375	6.710E+2	
84.960938	6.360E+2	
85.93750	6.540E+2	
86.914063	6.010E+2	
87.890625	5.790E+2	
88.867188	5.910E+2	
89.843750	5.520E+2	
90.820313	5.260E+2	
91.796875	5.680E+2	
92.773438	5.110E+2	
93.750	5.050E+2	
94.726563	5.030E+2	
95.703125	5.150E+2	
96.679688	4.770E+2	
97.656250	4.570E+2	
98.632813	4.710E+2	
99.609375	4.260E+2	
100.58590	4.720E+2	
101.56250	3.950E+2	
102.53910	3.980E+2	
103.51560	4.380E+2	
104.49220	4.220E+2	
105.46880	4.120E+2	
106.44530	4.360E+2	
107.42190	4.180E+2	
108.39840	3.960E+2	
109.3750	3.760E+2	
110.35160	4.110E+2	
111.32810	3.510E+2	
112.30470	4.100E+2	
113.28130	3.840E+2	
114.25780	3.250E+2	
115.23440	3.640E+2	
116.21090	3.490E+2	
117.18750	3.760E+2	
118.16410	3.560E+2	
119.14060	3.760E+2	
120.11720	3.260E+2	
121.09380	3.180E+2	
122.07030	3.310E+2	
123.04690	3.510E+2	
124.02340	3.410E+2	
125.0	2.830E+2	
125.97660	3.250E+2	
126.95310	3.060E+2	
127.92970	3.040E+2	
128.90630	3.430E+2	
129.88280	3.040E+2	
130.85940	3.330E+2	
131.83590	2.830E+2	
132.81250	3.290E+2	
133.78910	2.950E+2	
134.76560	2.990E+2	
135.74220	2.570E+2	
136.71880	2.810E+2	
137.69530	2.940E+2	
138.67190	2.720E+2	
139.64840	3.270E+2	
140.6250	2.970E+2	
141.60160	2.700E+2	
142.57810	2.670E+2	
143.55470	3.040E+2	
144.53130	2.590E+2	
145.50780	2.730E+2	
146.48440	2.890E+2	
147.46090	2.450E+2	
148.43750	2.670E+2	
149.41410	2.750E+2	
150.39060	2.580E+2	
151.36720	2.650E+2	
152.34380	2.680E+2	
153.32030	2.790E+2	
154.29690	2.750E+2	
155.27340	2.600E+2	
156.250	2.540E+2	
157.22660	2.400E+2	
