Labels	quencher 0.0 mM	
Type	Time Scan	
Comment		
start(nm)	0.00	
stop(nm)	999.02340	
step(nm)	0.976563	
fixed/offset(nm)	 	
Xaxis	Time	
Yaxis	Counts	
346.67970	3.500E+2	
347.65630	3.980E+2	
348.63280	3.620E+2	
349.60940	3.460E+2	
350.58590	3.320E+2	
351.56250	3.470E+2	
352.53910	3.270E+2	
353.51560	3.460E+2	
354.49220	3.210E+2	
355.46880	3.230E+2	
356.44530	3.230E+2	
357.42190	3.600E+2	
358.39840	3.370E+2	
359.3750	3.110E+2	
360.35160	3.430E+2	
361.32810	3.490E+2	
362.30470	3.330E+2	
363.28130	3.100E+2	
364.25780	3.730E+2	
365.23440	2.910E+2	
366.21090	3.470E+2	
367.18750	3.180E+2	
368.16410	3.160E+2	
369.14060	2.860E+2	
370.11720	3.320E+2	
371.09380	3.130E+2	
372.07030	2.990E+2	
373.04690	2.950E+2	
374.02340	3.140E+2	
375.0	3.280E+2	
375.97660	3.030E+2	
376.95310	3.000E+2	
377.92970	2.820E+2	
378.90630	2.990E+2	
379.88280	2.800E+2	
380.85940	2.960E+2	
381.83590	2.970E+2	
382.81250	3.100E+2	
383.78910	2.890E+2	
384.76560	2.730E+2	
385.74220	2.930E+2	
386.71880	2.670E+2	
387.69530	2.460E+2	
388.67190	2.780E+2	
389.64840	2.720E+2	
390.6250	2.590E+2	
391.60160	2.820E+2	
392.57810	2.620E+2	
393.55470	2.500E+2	
394.53130	2.830E+2	
395.50780	2.340E+2	
396.48440	2.630E+2	
397.46090	2.630E+2	
398.43750	2.610E+2	
399.41410	2.840E+2	
400.39060	2.540E+2	
401.36720	2.300E+2	
402.34380	2.850E+2	
403.32030	2.500E+2	
404.29690	2.330E+2	
405.27340	2.700E+2	
406.250	2.400E+2	
407.22660	2.690E+2	
408.20310	2.210E+2	
409.17970	2.580E+2	
410.15630	2.560E+2	
411.13280	2.190E+2	
412.10940	2.200E+2	
413.08590	2.510E+2	
414.06250	2.540E+2	
415.03910	2.420E+2	
416.01560	2.150E+2	
416.99220	2.180E+2	
417.96880	2.240E+2	
418.94530	2.230E+2	
419.92190	2.000E+2	
420.89840	2.170E+2	
421.8750	2.480E+2	
422.85160	2.310E+2	
423.82810	2.270E+2	
424.80470	2.250E+2	
425.78130	2.050E+2	
426.75780	2.060E+2	
427.73440	2.210E+2	
428.71090	2.050E+2	
429.68750	2.040E+2	
430.66410	2.030E+2	
431.64060	1.870E+2	
432.61720	2.040E+2	
433.59380	2.110E+2	
434.57030	2.150E+2	
435.54690	1.890E+2	
436.52340	2.240E+2	
437.50	1.990E+2	
438.47660	2.110E+2	
439.45310	1.890E+2	
440.42970	1.950E+2	
441.40630	1.980E+2	
442.38280	2.080E+2	
443.35940	1.910E+2	
444.33590	2.010E+2	
445.31250	1.760E+2	
446.28910	1.950E+2	
447.26560	1.970E+2	
448.24220	1.870E+2	
449.21880	1.890E+2	
450.19530	1.930E+2	
451.17190	2.120E+2	
452.14840	1.990E+2	
453.1250	1.930E+2	
454.10160	2.080E+2	
455.07810	1.850E+2	
456.05470	1.800E+2	
457.03130	1.940E+2	
458.00780	1.820E+2	
458.98440	1.840E+2	
459.96090	1.720E+2	
460.93750	1.780E+2	
461.91410	1.910E+2	
462.89060	1.880E+2	
463.86720	1.850E+2	
464.84380	1.710E+2	
465.82030	1.900E+2	
466.79690	1.710E+2	
467.77340	1.840E+2	
468.750	1.690E+2	
469.72660	1.830E+2	
470.70310	1.400E+2	
471.67970	1.760E+2	
472.65630	1.670E+2	
473.63280	1.870E+2	
474.60940	1.880E+2	
475.58590	1.610E+2	
476.56250	1.720E+2	
477.53910	1.690E+2	
478.51560	1.630E+2	
479.49220	1.830E+2	
480.46880	1.450E+2	
481.44530	1.580E+2	
482.42190	1.730E+2	
483.39840	1.580E+2	
484.3750	1.530E+2	
485.35160	1.620E+2	
486.32810	1.390E+2	
487.30470	1.620E+2	
488.28130	1.500E+2	
489.25780	1.550E+2	
490.23440	1.360E+2	
491.21090	1.420E+2	
492.18750	1.700E+2	
493.16410	1.640E+2	
494.14060	1.390E+2	
495.11720	1.310E+2	
496.09380	1.590E+2	
497.07030	1.500E+2	
498.04690	1.220E+2	
499.02340	1.380E+2	
500.0	1.380E+2	
500.97660	1.390E+2	
501.95310	1.450E+2	
502.92970	1.370E+2	
503.90630	1.460E+2	
504.88280	1.340E+2	
505.85940	1.470E+2	
506.83590	1.340E+2	
507.81250	1.220E+2	
508.78910	1.270E+2	
509.76560	1.260E+2	
510.74220	1.210E+2	
511.71880	1.330E+2	
512.69530	1.360E+2	
513.67190	1.330E+2	
514.64840	1.380E+2	
515.6250	1.470E+2	
516.60160	1.370E+2	
517.57810	1.500E+2	
518.55470	1.190E+2	
519.53130	1.340E+2	
520.50780	1.380E+2	
521.48440	1.440E+2	
522.46090	1.190E+2	
523.43750	1.230E+2	
524.41410	1.290E+2	
525.39060	1.160E+2	
526.36720	1.240E+2	
527.34380	1.270E+2	
528.32030	1.360E+2	
529.29690	1.180E+2	
530.27340	1.260E+2	
531.250	1.430E+2	
532.22660	1.410E+2	
533.20310	1.060E+2	
534.17970	1.170E+2	
535.15630	1.130E+2	
536.13280	1.080E+2	
537.10940	1.190E+2	
538.08590	1.160E+2	
539.06250	1.330E+2	
540.03910	9.600E+1	
541.01560	1.120E+2	
541.99220	1.240E+2	
542.96880	1.030E+2	
543.94530	1.040E+2	
544.92190	1.040E+2	
545.89840	1.160E+2	
546.8750	1.020E+2	
547.85160	9.400E+1	
548.82810	9.700E+1	
549.80470	1.200E+2	
550.78130	1.000E+2	
551.75780	1.060E+2	
552.73440	1.070E+2	
553.71090	9.800E+1	
554.68750	1.010E+2	
555.66410	8.600E+1	
556.64060	8.700E+1	
557.61720	1.140E+2	
558.59380	1.030E+2	
559.57030	1.010E+2	
560.54690	1.090E+2	
561.52340	9.600E+1	
562.50	9.100E+1	
563.47660	9.000E+1	
564.45310	1.070E+2	
565.42970	8.900E+1	
566.40630	9.400E+1	
567.38280	9.200E+1	
568.35940	9.200E+1	
569.33590	1.000E+2	
570.31250	1.070E+2	
571.28910	8.900E+1	
572.26560	9.300E+1	
573.24220	9.700E+1	
574.21880	8.300E+1	
575.19530	8.400E+1	
576.17190	9.700E+1	
577.14840	1.020E+2	
578.1250	8.400E+1	
579.10160	8.900E+1	
580.07810	9.800E+1	
581.05470	9.300E+1	
582.03130	9.500E+1	
583.00780	8.700E+1	
583.98440	9.200E+1	
584.96090	7.500E+1	
