Labels	quencher 1.0 mM		
Type	Time Scan	
Comment		
start(nm)	0.00	
stop(nm)	999.02340	
step(nm)	0.976563	
fixed/offset(nm)	 	
Xaxis	Time	
Yaxis	Counts	
0.00	0.000E+0	
0.976563	0.000E+0	
1.953125	1.000E+0	
2.929688	1.000E+0	
3.906250	0.000E+0	
4.882813	0.000E+0	
5.859375	1.000E+0	
6.835938	1.000E+0	
7.81250	0.000E+0	
8.789063	0.000E+0	
9.765625	1.000E+0	
10.742188	1.000E+0	
11.718750	2.000E+0	
12.695313	1.000E+0	
13.671875	0.000E+0	
14.648438	0.000E+0	
15.6250	1.000E+0	
16.601563	1.000E+0	
17.578125	2.000E+0	
18.554688	0.000E+0	
19.531250	2.000E+0	
20.507813	1.000E+0	
21.484375	1.000E+0	
22.460938	0.000E+0	
23.43750	0.000E+0	
24.414063	0.000E+0	
25.390625	1.000E+0	
26.367188	0.000E+0	
27.343750	1.000E+0	
28.320313	1.000E+0	
29.296875	1.000E+0	
30.273438	0.000E+0	
31.250	1.000E+0	
32.226563	3.000E+0	
33.203125	0.000E+0	
34.179688	2.000E+0	
35.156250	0.000E+0	
36.132813	0.000E+0	
37.109375	2.000E+0	
38.085938	1.000E+0	
39.06250	0.000E+0	
40.039063	1.000E+0	
41.015625	0.000E+0	
41.992188	0.000E+0	
42.968750	0.000E+0	
43.945313	1.000E+0	
44.921875	0.000E+0	
45.898438	0.000E+0	
46.8750	1.000E+0	
47.851563	0.000E+0	
48.828125	1.000E+0	
49.804688	1.000E+0	
50.781250	0.000E+0	
51.757813	0.000E+0	
52.734375	1.000E+0	
53.710938	0.000E+0	
54.68750	0.000E+0	
55.664063	0.000E+0	
56.640625	2.000E+0	
57.617188	0.000E+0	
58.593750	2.000E+0	
59.570313	8.000E+0	
60.546875	8.200E+1	
61.523438	4.520E+2	
62.50	1.233E+3	
63.476563	1.834E+3	
64.453125	1.930E+3	
65.429688	2.000E+3	
66.406250	1.854E+3	
67.382813	1.848E+3	
68.359375	1.777E+3	
69.335938	1.612E+3	
70.31250	1.549E+3	
71.289063	1.567E+3	
72.265625	1.470E+3	
73.242188	1.387E+3	
74.218750	1.326E+3	
75.195313	1.254E+3	
76.171875	1.196E+3	
77.148438	1.156E+3	
78.1250	1.123E+3	
79.101563	1.125E+3	
80.078125	1.084E+3	
81.054688	1.069E+3	
82.031250	1.040E+3	
83.007813	9.300E+2	
83.984375	9.440E+2	
84.960938	9.160E+2	
85.93750	8.460E+2	
86.914063	8.730E+2	
87.890625	8.560E+2	
88.867188	8.230E+2	
89.843750	7.900E+2	
90.820313	7.300E+2	
91.796875	7.830E+2	
92.773438	8.100E+2	
93.750	7.790E+2	
94.726563	7.510E+2	
95.703125	7.590E+2	
96.679688	7.130E+2	
97.656250	7.160E+2	
98.632813	6.340E+2	
99.609375	6.880E+2	
100.58590	6.770E+2	
101.56250	6.440E+2	
102.53910	6.280E+2	
103.51560	6.740E+2	
104.49220	5.910E+2	
105.46880	6.840E+2	
106.44530	6.410E+2	
107.42190	6.100E+2	
108.39840	5.670E+2	
109.3750	5.970E+2	
110.35160	5.840E+2	
111.32810	6.520E+2	
112.30470	5.870E+2	
113.28130	5.320E+2	
114.25780	5.440E+2	
115.23440	5.630E+2	
116.21090	5.630E+2	
117.18750	5.590E+2	
118.16410	5.400E+2	
119.14060	4.900E+2	
120.11720	5.250E+2	
121.09380	4.970E+2	
122.07030	5.280E+2	
123.04690	4.960E+2	
124.02340	5.270E+2	
125.0	4.910E+2	
125.97660	4.820E+2	
126.95310	5.090E+2	
127.92970	4.750E+2	
128.90630	5.180E+2	
129.88280	5.340E+2	
130.85940	4.640E+2	
131.83590	4.680E+2	
132.81250	4.660E+2	
133.78910	4.700E+2	
134.76560	4.760E+2	
135.74220	4.420E+2	
136.71880	4.410E+2	
137.69530	4.450E+2	
138.67190	4.430E+2	
139.64840	4.560E+2	
140.6250	4.600E+2	
141.60160	4.410E+2	
142.57810	4.380E+2	
143.55470	4.430E+2	
144.53130	4.420E+2	
145.50780	4.170E+2	
146.48440	4.330E+2	
147.46090	4.240E+2	
148.43750	3.820E+2	
149.41410	3.920E+2	
150.39060	4.230E+2	
151.36720	4.280E+2	
152.34380	3.760E+2	
153.32030	4.140E+2	
154.29690	4.030E+2	
155.27340	3.810E+2	
156.250	4.050E+2	
157.22660	3.810E+2	
