Labels	quencher 0.5 mM		
Type	Time Scan	
Comment		
start(nm)	0.00	
stop(nm)	999.02340	
step(nm)	0.976563	
fixed/offset(nm)	 	
Xaxis	Time	
Yaxis	Counts	
232.42190	4.280E+2	
233.39840	4.320E+2	
234.3750	3.910E+2	
235.35160	3.860E+2	
236.32810	4.330E+2	
237.30470	4.160E+2	
238.28130	4.010E+2	
239.25780	3.650E+2	
240.23440	3.770E+2	
241.21090	3.540E+2	
242.18750	3.910E+2	
243.16410	3.990E+2	
244.14060	3.830E+2	
245.11720	3.760E+2	
246.09380	3.930E+2	
247.07030	3.970E+2	
248.04690	3.610E+2	
249.02340	3.540E+2	
250.0	3.830E+2	
250.97660	3.550E+2	
251.95310	3.790E+2	
252.92970	3.640E+2	
253.90630	3.560E+2	
254.88280	3.430E+2	
255.85940	3.740E+2	
256.83590	3.460E+2	
257.81250	3.190E+2	
258.78910	3.670E+2	
259.76560	3.390E+2	
260.74220	3.410E+2	
261.71880	3.140E+2	
262.69530	3.660E+2	
263.67190	3.310E+2	
264.64840	3.320E+2	
265.6250	3.300E+2	
266.60160	3.010E+2	
267.57810	3.390E+2	
268.55470	3.180E+2	
269.53130	3.180E+2	
270.50780	3.100E+2	
271.48440	3.150E+2	
272.46090	3.000E+2	
273.43750	3.250E+2	
274.41410	2.720E+2	
275.39060	3.070E+2	
276.36720	3.200E+2	
277.34380	3.340E+2	
278.32030	2.900E+2	
279.29690	3.100E+2	
280.27340	2.920E+2	
281.250	2.900E+2	
282.22660	3.230E+2	
283.20310	2.530E+2	
284.17970	3.120E+2	
285.15630	2.800E+2	
286.13280	2.770E+2	
287.10940	2.560E+2	
288.08590	2.690E+2	
289.06250	2.680E+2	
290.03910	3.000E+2	
291.01560	2.980E+2	
291.99220	2.790E+2	
292.96880	2.350E+2	
293.94530	2.730E+2	
294.92190	2.470E+2	
295.89840	2.530E+2	
296.8750	2.560E+2	
297.85160	2.850E+2	
298.82810	2.820E+2	
299.80470	2.530E+2	
300.78130	2.540E+2	
301.75780	2.510E+2	
302.73440	2.450E+2	
303.71090	2.910E+2	
304.68750	2.650E+2	
305.66410	2.850E+2	
306.64060	2.350E+2	
307.61720	2.630E+2	
308.59380	2.680E+2	
309.57030	2.350E+2	
310.54690	2.610E+2	
311.52340	2.720E+2	
312.50	2.610E+2	
313.47660	2.670E+2	
314.45310	2.430E+2	
315.42970	2.380E+2	
316.40630	2.380E+2	
317.38280	2.240E+2	
318.35940	2.740E+2	
319.33590	2.250E+2	
320.31250	2.210E+2	
321.28910	2.170E+2	
322.26560	2.480E+2	
323.24220	2.480E+2	
324.21880	2.000E+2	
325.19530	2.270E+2	
326.17190	2.470E+2	
327.14840	2.370E+2	
328.1250	2.240E+2	
329.10160	2.050E+2	
330.07810	2.370E+2	
331.05470	2.120E+2	
332.03130	2.230E+2	
333.00780	2.160E+2	
333.98440	2.110E+2	
334.96090	2.130E+2	
335.93750	2.020E+2	
336.91410	1.910E+2	
337.89060	2.100E+2	
338.86720	2.100E+2	
339.84380	2.070E+2	
340.82030	2.290E+2	
341.79690	2.050E+2	
342.77340	2.230E+2	
343.750	1.820E+2	
344.72660	2.160E+2	
345.70310	1.900E+2	
346.67970	2.080E+2	
347.65630	2.170E+2	
348.63280	1.980E+2	
349.60940	1.930E+2	
350.58590	1.910E+2	
351.56250	1.820E+2	
352.53910	1.870E+2	
353.51560	1.830E+2	
354.49220	2.020E+2	
355.46880	1.760E+2	
356.44530	1.800E+2	
357.42190	2.070E+2	
358.39840	1.660E+2	
359.3750	1.740E+2	
360.35160	1.680E+2	
361.32810	1.580E+2	
362.30470	1.830E+2	
363.28130	1.970E+2	
364.25780	1.940E+2	
365.23440	1.650E+2	
366.21090	1.700E+2	
367.18750	1.590E+2	
368.16410	1.640E+2	
369.14060	1.620E+2	
370.11720	1.810E+2	
371.09380	1.640E+2	
372.07030	1.860E+2	
373.04690	1.670E+2	
374.02340	1.880E+2	
375.0	1.800E+2	
375.97660	1.670E+2	
376.95310	1.690E+2	
377.92970	1.760E+2	
378.90630	1.680E+2	
379.88280	1.540E+2	
380.85940	1.480E+2	
381.83590	1.780E+2	
382.81250	1.390E+2	
383.78910	1.440E+2	
384.76560	1.430E+2	
385.74220	1.550E+2	
386.71880	1.740E+2	
387.69530	1.580E+2	
388.67190	1.580E+2	
389.64840	1.660E+2	
390.6250	1.490E+2	
391.60160	1.560E+2	
392.57810	1.580E+2	
393.55470	1.540E+2	
394.53130	1.530E+2	
395.50780	1.510E+2	
396.48440	1.260E+2	
397.46090	1.280E+2	
398.43750	1.510E+2	
399.41410	1.440E+2	
400.39060	1.410E+2	
401.36720	1.170E+2	
402.34380	1.370E+2	
403.32030	1.240E+2	
404.29690	1.400E+2	
405.27340	1.360E+2	
406.250	1.390E+2	
407.22660	1.250E+2	
408.20310	1.360E+2	
409.17970	1.260E+2	
410.15630	1.200E+2	
411.13280	1.190E+2	
412.10940	1.250E+2	
413.08590	1.330E+2	
414.06250	1.340E+2	
415.03910	1.270E+2	
416.01560	1.450E+2	
416.99220	1.170E+2	
417.96880	1.260E+2	
418.94530	1.210E+2	
419.92190	1.160E+2	
420.89840	1.290E+2	
421.8750	1.160E+2	
422.85160	1.070E+2	
423.82810	9.700E+1	
424.80470	1.280E+2	
425.78130	1.350E+2	
426.75780	1.190E+2	
427.73440	1.280E+2	
428.71090	1.360E+2	
429.68750	1.160E+2	
430.66410	1.180E+2	
431.64060	1.120E+2	
432.61720	1.240E+2	
433.59380	1.180E+2	
434.57030	1.190E+2	
435.54690	1.250E+2	
436.52340	1.180E+2	
437.50	1.130E+2	
438.47660	1.170E+2	
439.45310	1.000E+2	
440.42970	1.080E+2	
441.40630	1.030E+2	
442.38280	1.210E+2	
443.35940	1.020E+2	
444.33590	7.500E+1	
445.31250	1.120E+2	
446.28910	1.190E+2	
447.26560	1.070E+2	
448.24220	8.100E+1	
449.21880	1.060E+2	
450.19530	1.050E+2	
451.17190	1.100E+2	
452.14840	1.070E+2	
453.1250	1.130E+2	
454.10160	1.150E+2	
455.07810	1.120E+2	
456.05470	9.700E+1	
457.03130	1.210E+2	
458.00780	9.900E+1	
458.98440	1.070E+2	
459.96090	9.700E+1	
460.93750	1.030E+2	
461.91410	9.800E+1	
462.89060	1.020E+2	
463.86720	1.210E+2	
464.84380	1.020E+2	
465.82030	9.500E+1	
466.79690	8.700E+1	
467.77340	1.110E+2	
468.750	7.900E+1	
469.72660	8.500E+1	
470.70310	7.400E+1	
471.67970	1.010E+2	
472.65630	9.100E+1	
473.63280	8.000E+1	
474.60940	9.300E+1	
475.58590	8.100E+1	
476.56250	9.300E+1	
477.53910	8.700E+1	
478.51560	9.200E+1	
479.49220	9.700E+1	
480.46880	9.900E+1	
481.44530	7.800E+1	
482.42190	8.300E+1	
483.39840	8.800E+1	
484.3750	7.600E+1	
485.35160	9.500E+1	
486.32810	7.900E+1	
487.30470	8.300E+1	
488.28130	7.900E+1	
489.25780	8.400E+1	
490.23440	8.100E+1	
491.21090	7.600E+1	
492.18750	7.800E+1	
493.16410	7.300E+1	
494.14060	9.100E+1	
495.11720	7.300E+1	
496.09380	9.000E+1	
497.07030	6.600E+1	
498.04690	7.600E+1	
499.02340	7.000E+1	
500.0	5.200E+1	
500.97660	7.100E+1	
501.95310	6.100E+1	
502.92970	9.100E+1	
503.90630	7.200E+1	
504.88280	8.500E+1	
505.85940	7.800E+1	
506.83590	7.700E+1	
507.81250	7.700E+1	
508.78910	7.900E+1	
509.76560	7.400E+1	
510.74220	7.500E+1	
511.71880	6.800E+1	
512.69530	5.600E+1	
513.67190	8.200E+1	
514.64840	5.800E+1	
515.6250	6.500E+1	
516.60160	6.400E+1	
517.57810	8.300E+1	
518.55470	8.000E+1	
519.53130	6.800E+1	
520.50780	7.200E+1	
521.48440	7.700E+1	
522.46090	8.500E+1	
523.43750	6.900E+1	
524.41410	6.000E+1	
525.39060	6.500E+1	
526.36720	6.700E+1	
527.34380	6.800E+1	
528.32030	6.000E+1	
529.29690	6.400E+1	
530.27340	6.200E+1	
531.250	5.900E+1	
532.22660	6.700E+1	
533.20310	6.500E+1	
534.17970	6.400E+1	
535.15630	7.200E+1	
536.13280	6.100E+1	
537.10940	5.100E+1	
538.08590	6.100E+1	
539.06250	5.300E+1	
540.03910	5.900E+1	
541.01560	6.000E+1	
541.99220	5.800E+1	
542.96880	6.100E+1	
543.94530	5.500E+1	
544.92190	5.100E+1	
545.89840	6.100E+1	
546.8750	5.900E+1	
547.85160	5.500E+1	
548.82810	5.300E+1	
549.80470	5.000E+1	
550.78130	6.200E+1	
551.75780	7.400E+1	
552.73440	4.500E+1	
553.71090	6.100E+1	
554.68750	5.200E+1	
555.66410	6.100E+1	
556.64060	5.300E+1	
557.61720	5.200E+1	
558.59380	5.700E+1	
559.57030	4.400E+1	
560.54690	6.300E+1	
561.52340	4.000E+1	
562.50	5.500E+1	
563.47660	6.200E+1	
564.45310	4.800E+1	
565.42970	4.200E+1	
566.40630	6.300E+1	
567.38280	5.800E+1	
568.35940	4.500E+1	
569.33590	6.300E+1	
570.31250	4.500E+1	
571.28910	5.200E+1	
572.26560	3.600E+1	
573.24220	4.700E+1	
574.21880	4.500E+1	
575.19530	4.300E+1	
576.17190	3.500E+1	
577.14840	4.800E+1	
578.1250	4.400E+1	
579.10160	5.200E+1	
580.07810	5.800E+1	
581.05470	5.200E+1	
582.03130	4.900E+1	
583.00780	5.100E+1	
583.98440	4.300E+1	
584.96090	5.700E+1	
585.93750	4.200E+1	
586.91410	4.500E+1	
587.89060	5.000E+1	
588.86720	4.400E+1	
589.84380	5.000E+1	
590.82030	4.700E+1	
591.79690	5.600E+1	
592.77340	4.100E+1	
593.750	3.700E+1	
