Data size:	256 x 256
Surface Size:	5.0000 x 5.0000
X Unit:	MicroMeter
Y Unit:	MicroMeter
Z Unit:	NanoMeter

X		Y		Z
2.4219	?m	0.0000	?m	0.000000000	nm
2.4414	?m	0.0000	?m	0.000000000	nm
2.4609	?m	0.0000	?m	0.000000000	nm
2.4805	?m	0.0000	?m	0.000000000	nm
2.5000	?m	0.0000	?m	0.000000000	nm
2.5195	?m	0.0000	?m	0.000000000	nm
2.5391	?m	0.0000	?m	0.000000000	nm
2.5586	?m	0.0000	?m	0.000000000	nm
2.5781	?m	0.0000	?m	0.000000000	nm
2.5977	?m	0.0000	?m	0.000000000	nm
2.6172	?m	0.0000	?m	0.000000000	nm
2.6367	?m	0.0000	?m	0.000000000	nm
2.6562	?m	0.0000	?m	0.000000000	nm
2.6758	?m	0.0000	?m	0.000000000	nm
2.6953	?m	0.0000	?m	0.000000000	nm
2.7148	?m	0.0000	?m	0.146889652	nm
2.7344	?m	0.0000	?m	0.146889652	nm
2.7539	?m	0.0000	?m	0.000000000	nm
2.7734	?m	0.0000	?m	0.000000000	nm
2.7930	?m	0.0000	?m	0.000000000	nm
2.8125	?m	0.0000	?m	0.000000000	nm
2.8320	?m	0.0000	?m	0.000000000	nm
2.8516	?m	0.0000	?m	0.000000000	nm
2.8711	?m	0.0000	?m	0.000000000	nm
2.8906	?m	0.0000	?m	0.000000000	nm
2.9102	?m	0.0000	?m	0.000000000	nm
2.9297	?m	0.0000	?m	0.000000000	nm
2.9492	?m	0.0000	?m	0.146889652	nm
2.9688	?m	0.0000	?m	0.000000000	nm
2.9883	?m	0.0000	?m	0.146889652	nm
3.0078	?m	0.0000	?m	0.000000000	nm
3.0273	?m	0.0000	?m	0.000000000	nm
3.0469	?m	0.0000	?m	0.000000000	nm
3.0664	?m	0.0000	?m	0.146889652	nm
3.0859	?m	0.0000	?m	0.000000000	nm
3.1055	?m	0.0000	?m	0.000000000	nm
3.1250	?m	0.0000	?m	0.000000000	nm
3.1445	?m	0.0000	?m	0.146889652	nm
3.1641	?m	0.0000	?m	0.000000000	nm
3.1836	?m	0.0000	?m	0.000000000	nm
3.2031	?m	0.0000	?m	-0.146889652	nm
3.2227	?m	0.0000	?m	0.000000000	nm
3.2422	?m	0.0000	?m	0.000000000	nm
3.2617	?m	0.0000	?m	0.000000000	nm
3.2812	?m	0.0000	?m	0.000000000	nm
3.3008	?m	0.0000	?m	0.000000000	nm
3.3203	?m	0.0000	?m	0.000000000	nm
3.3398	?m	0.0000	?m	0.000000000	nm
3.3594	?m	0.0000	?m	0.000000000	nm
3.3789	?m	0.0000	?m	0.000000000	nm
3.3984	?m	0.0000	?m	0.000000000	nm
3.4180	?m	0.0000	?m	0.000000000	nm
3.4375	?m	0.0000	?m	0.146889652	nm
3.4570	?m	0.0000	?m	0.000000000	nm
3.4766	?m	0.0000	?m	0.000000000	nm
3.4961	?m	0.0000	?m	0.146889652	nm
3.5156	?m	0.0000	?m	0.000000000	nm
3.5352	?m	0.0000	?m	0.000000000	nm
3.5547	?m	0.0000	?m	0.000000000	nm
3.5742	?m	0.0000	?m	0.000000000	nm
3.5938	?m	0.0000	?m	0.000000000	nm
3.6133	?m	0.0000	?m	0.000000000	nm
3.6328	?m	0.0000	?m	0.000000000	nm
3.6523	?m	0.0000	?m	0.000000000	nm
