Data size:	256 x 256
Surface Size:	3.0000 x 3.0000
X Unit:	MicroMeter
Y Unit:	MicroMeter
Z Unit:	MilliVolt

X		Y		Z
1.4297	?m	0.0000	?m	-5.493164062	mV
1.4414	?m	0.0000	?m	7.019042969	mV
1.4531	?m	0.0000	?m	40.588378906	mV
1.4648	?m	0.0000	?m	27.465820312	mV
1.4766	?m	0.0000	?m	12.207031250	mV
1.4883	?m	0.0000	?m	2.136230469	mV
1.5000	?m	0.0000	?m	-5.493164062	mV
1.5117	?m	0.0000	?m	-7.629394531	mV
1.5234	?m	0.0000	?m	-9.765625000	mV
1.5352	?m	0.0000	?m	-7.629394531	mV
1.5469	?m	0.0000	?m	-8.544921875	mV
1.5586	?m	0.0000	?m	-11.901855469	mV
1.5703	?m	0.0000	?m	-9.460449219	mV
1.5820	?m	0.0000	?m	-10.070800781	mV
1.5938	?m	0.0000	?m	-9.460449219	mV
1.6055	?m	0.0000	?m	-7.934570312	mV
1.6172	?m	0.0000	?m	-8.239746094	mV
1.6289	?m	0.0000	?m	-3.967285156	mV
1.6406	?m	0.0000	?m	-1.525878906	mV
1.6523	?m	0.0000	?m	0.305175781	mV
1.6641	?m	0.0000	?m	2.136230469	mV
1.6758	?m	0.0000	?m	2.136230469	mV
1.6875	?m	0.0000	?m	0.610351562	mV
1.6992	?m	0.0000	?m	0.000000000	mV
1.7109	?m	0.0000	?m	2.441406250	mV
1.7227	?m	0.0000	?m	5.187988281	mV
1.7344	?m	0.0000	?m	7.324218750	mV
1.7461	?m	0.0000	?m	6.713867188	mV
1.7578	?m	0.0000	?m	7.019042969	mV
1.7695	?m	0.0000	?m	7.934570312	mV
1.7813	?m	0.0000	?m	7.019042969	mV
1.7930	?m	0.0000	?m	3.967285156	mV
1.8047	?m	0.0000	?m	4.577636719	mV
1.8164	?m	0.0000	?m	9.460449219	mV
1.8281	?m	0.0000	?m	8.544921875	mV
1.8398	?m	0.0000	?m	4.577636719	mV
1.8516	?m	0.0000	?m	4.272460938	mV
1.8633	?m	0.0000	?m	5.493164062	mV
