Data size:	256 x 256
Surface Size:	3.0000 x 3.0000
X Unit:	MicroMeter
Y Unit:	MicroMeter
Z Unit:	NanoMeter

X		Y		Z
0.0000	?m	0.0000	?m	-3.819130943	nm
0.0117	?m	0.0000	?m	-3.525351640	nm
0.0234	?m	0.0000	?m	-3.966020595	nm
0.0352	?m	0.0000	?m	-3.378461988	nm
0.0469	?m	0.0000	?m	-1.909565472	nm
0.0586	?m	0.0000	?m	-1.909565472	nm
0.0703	?m	0.0000	?m	-2.790903382	nm
0.0820	?m	0.0000	?m	-3.525351640	nm
0.0938	?m	0.0000	?m	-4.847358505	nm
0.1055	?m	0.0000	?m	-5.875586066	nm
0.1172	?m	0.0000	?m	-7.344482583	nm
0.1289	?m	0.0000	?m	-8.519599796	nm
0.1406	?m	0.0000	?m	-9.547827358	nm
0.1523	?m	0.0000	?m	-10.869834223	nm
0.1641	?m	0.0000	?m	-11.898061784	nm
0.1758	?m	0.0000	?m	-12.191841088	nm
0.1875	?m	0.0000	?m	-12.632510043	nm
0.1992	?m	0.0000	?m	-12.632510043	nm
0.2109	?m	0.0000	?m	-12.485620391	nm
0.2227	?m	0.0000	?m	-10.722944571	nm
0.2344	?m	0.0000	?m	-11.163613526	nm
0.2461	?m	0.0000	?m	-10.576054920	nm
0.2578	?m	0.0000	?m	-10.282275616	nm
0.2695	?m	0.0000	?m	-9.988496313	nm
0.2812	?m	0.0000	?m	-9.694717010	nm
0.2930	?m	0.0000	?m	-9.988496313	nm
0.3047	?m	0.0000	?m	-10.429165268	nm
0.3164	?m	0.0000	?m	-10.282275616	nm
0.3281	?m	0.0000	?m	-10.869834223	nm
0.3398	?m	0.0000	?m	-11.751172133	nm
0.3516	?m	0.0000	?m	-11.898061784	nm
0.3633	?m	0.0000	?m	-12.632510043	nm
0.3750	?m	0.0000	?m	-12.779399694	nm
0.3867	?m	0.0000	?m	-12.485620391	nm
0.3984	?m	0.0000	?m	-12.632510043	nm
0.4102	?m	0.0000	?m	-12.632510043	nm
0.4219	?m	0.0000	?m	-12.632510043	nm
0.4336	?m	0.0000	?m	-12.338730739	nm
0.4453	?m	0.0000	?m	-13.366958301	nm
0.4570	?m	0.0000	?m	-13.073178998	nm
0.4688	?m	0.0000	?m	-12.191841088	nm
0.4805	?m	0.0000	?m	-11.457392829	nm
0.4922	?m	0.0000	?m	-11.310503178	nm
0.5039	?m	0.0000	?m	-10.576054920	nm
0.5156	?m	0.0000	?m	-9.988496313	nm
0.5273	?m	0.0000	?m	-9.547827358	nm
