unit,hazard,wst_oper,waste,geo\time	2014 	2012 	2010 	2008 	2006 	2004 
KG_HAB,HAZ,DSP_D,TOTAL,IS	35 b	2 	4 	407 	: 	7 
KG_HAB,HAZ,DSP_D,TOTAL,IT	21 	18 	12 	12 	9 	11 
KG_HAB,HAZ,DSP_D,TOTAL,LT	6 	5 	1 	1 	1 	4 
KG_HAB,HAZ,DSP_D,TOTAL,LU	0 	0 	0 	0 	0 	0 
KG_HAB,HAZ,DSP_D,TOTAL,LV	3 	2 	3 	0 	0 	0 
KG_HAB,HAZ,DSP_D,TOTAL,ME	422 	: 	: 	: 	: 	: 
KG_HAB,HAZ,DSP_D,TOTAL,MK	2 	325 	72 	1 	: 	: 
KG_HAB,HAZ,DSP_D,TOTAL,MT	0 	0 	0 	0 	0 	0 
KG_HAB,HAZ,DSP_D,TOTAL,NL	79 	67 	48 	51 	45 	20 
KG_HAB,HAZ,DSP_D,TOTAL,NO	156 	92 	128 	214 	228 	193 
KG_HAB,HAZ,DSP_D,TOTAL,PL	6 	3 	8 	15 	20 	16 
KG_HAB,HAZ,DSP_D,TOTAL,PT	2 	1 	8 	5 	151 	125 
KG_HAB,HAZ,DSP_D,TOTAL,RO	6 	4 	2 	1 	30 	69 
KG_HAB,HAZ,DSP_D,TOTAL,RS	1884 	1998 	1520 	: 	: 	: 
KG_HAB,HAZ,DSP_D,TOTAL,SE	44 	49 	38 	42 	16 	55 
KG_HAB,HAZ,DSP_D,TOTAL,SI	5 	6 	15 	24 	12 	4 
KG_HAB,HAZ,DSP_D,TOTAL,SK	10 	16 	18 	21 	21 	22 
KG_HAB,HAZ,DSP_D,TOTAL,TR	76 	37 	40 	10 	0 	12 
KG_HAB,HAZ,DSP_D,TOTAL,UK	13 	16 	20 	21 	25 	50 
KG_HAB,HAZ,DSP_D,TOT_X_MIN,AT	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,TOT_X_MIN,BE	22 	39 	45 	: 	: 	: 
KG_HAB,HAZ,DSP_D,TOT_X_MIN,BG	12 	8 	76 	: 	: 	: 
KG_HAB,HAZ,DSP_D,TOT_X_MIN,CY	0 	0 	1 	: 	: 	: 
KG_HAB,HAZ,DSP_D,TOT_X_MIN,CZ	: c	0 	2 	: 	: 	: 
KG_HAB,HAZ,DSP_D,TOT_X_MIN,DE	: c	20 	14 	: 	: 	: 
KG_HAB,HAZ,DSP_D,TOT_X_MIN,DK	55 	8 	11 	: 	: 	: 
KG_HAB,HAZ,DSP_D,TOT_X_MIN,EE	6829 	5642 	5990 	: 	: 	: 
KG_HAB,HAZ,DSP_D,TOT_X_MIN,EL	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,TOT_X_MIN,ES	9 	10 	13 	: 	: 	: 
KG_HAB,HAZ,DSP_D,TOT_X_MIN,EU28	29 	25 	28 	: 	: 	: 
KG_HAB,HAZ,DSP_D,TOT_X_MIN,FI	58 	23 	35 	: 	: 	: 
KG_HAB,HAZ,DSP_D,TOT_X_MIN,FR	16 	16 	13 	: 	: 	: 
KG_HAB,HAZ,DSP_D,TOT_X_MIN,HR	0 	0 	1 	: 	: 	: 
KG_HAB,HAZ,DSP_D,TOT_X_MIN,HU	5 	10 	3 	: 	: 	: 
KG_HAB,HAZ,DSP_D,TOT_X_MIN,IE	0 	0 	1 	: 	: 	: 
KG_HAB,HAZ,DSP_D,TOT_X_MIN,IS	28 b	2 	4 	: 	: 	: 
KG_HAB,HAZ,DSP_D,TOT_X_MIN,IT	15 	12 	8 	: 	: 	: 
KG_HAB,HAZ,DSP_D,TOT_X_MIN,LT	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,TOT_X_MIN,LU	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,TOT_X_MIN,LV	3 	1 	2 	: 	: 	: 
KG_HAB,HAZ,DSP_D,TOT_X_MIN,ME	0 	: 	: 	: 	: 	: 
KG_HAB,HAZ,DSP_D,TOT_X_MIN,MK	2 	2 	3 	: 	: 	: 
KG_HAB,HAZ,DSP_D,TOT_X_MIN,MT	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,TOT_X_MIN,NL	11 	8 	8 	: 	: 	: 
KG_HAB,HAZ,DSP_D,TOT_X_MIN,NO	131 	82 	122 	: 	: 	: 
KG_HAB,HAZ,DSP_D,TOT_X_MIN,PL	2 	1 	5 	: 	: 	: 
KG_HAB,HAZ,DSP_D,TOT_X_MIN,PT	0 	1 	6 	: 	: 	: 
KG_HAB,HAZ,DSP_D,TOT_X_MIN,RO	1 	2 	1 	: 	: 	: 
KG_HAB,HAZ,DSP_D,TOT_X_MIN,RS	1 	1 	3 	: 	: 	: 
KG_HAB,HAZ,DSP_D,TOT_X_MIN,SE	17 	14 	13 	: 	: 	: 
KG_HAB,HAZ,DSP_D,TOT_X_MIN,SI	2 	2 	7 	: 	: 	: 
KG_HAB,HAZ,DSP_D,TOT_X_MIN,SK	8 	14 	15 	: 	: 	: 
KG_HAB,HAZ,DSP_D,TOT_X_MIN,TR	: 	6 	9 	: 	: 	: 
KG_HAB,HAZ,DSP_D,TOT_X_MIN,UK	6 	5 	13 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W01-05,AT	0 	0 	0 	0 	0 	0 
KG_HAB,HAZ,DSP_D,W01-05,BE	6 	22 	26 	10 	11 	7 
KG_HAB,HAZ,DSP_D,W01-05,BG	12 	2 	64 	73 	60 	5 
KG_HAB,HAZ,DSP_D,W01-05,CY	0 	0 	0 	0 	1 	2 
KG_HAB,HAZ,DSP_D,W01-05,CZ	: c	0 	2 	3 	2 	3 
KG_HAB,HAZ,DSP_D,W01-05,DE	: c	4 	3 	7 	8 	6 
KG_HAB,HAZ,DSP_D,W01-05,DK	52 	6 	3 	0 	0 	0 
KG_HAB,HAZ,DSP_D,W01-05,EE	546 	289 	626 	575 	667 	572 
KG_HAB,HAZ,DSP_D,W01-05,EL	0 	0 	0 	0 	1 	6 
KG_HAB,HAZ,DSP_D,W01-05,ES	4 	5 	6 	7 	14 	17 
KG_HAB,HAZ,DSP_D,W01-05,EU28	5 	4 	5 	7 	10 	7 
KG_HAB,HAZ,DSP_D,W01-05,FI	41 	11 	23 	32 	48 	28 
KG_HAB,HAZ,DSP_D,W01-05,FR	3 	3 	2 	4 	2 	4 
KG_HAB,HAZ,DSP_D,W01-05,HR	0 	0 	1 	0 	103 	1 
KG_HAB,HAZ,DSP_D,W01-05,HU	2 	2 	1 	5 	7 	3 
KG_HAB,HAZ,DSP_D,W01-05,IE	0 	0 	0 	0 	0 	3 
KG_HAB,HAZ,DSP_D,W01-05,IS	15 b	0 	0 	1 	: 	0 
KG_HAB,HAZ,DSP_D,W01-05,IT	1 	1 	0 	1 	2 	3 
KG_HAB,HAZ,DSP_D,W01-05,LT	0 	0 	0 	0 	0 	3 
KG_HAB,HAZ,DSP_D,W01-05,LU	0 	0 	0 	0 	0 	0 
KG_HAB,HAZ,DSP_D,W01-05,LV	3 	1 	2 	0 	0 	0 
KG_HAB,HAZ,DSP_D,W01-05,ME	0 	: 	: 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W01-05,MK	2 	1 	0 	0 	: 	: 
KG_HAB,HAZ,DSP_D,W01-05,MT	0 	0 	0 	0 	0 	0 
KG_HAB,HAZ,DSP_D,W01-05,NL	1 	2 	3 	6 	4 	2 
KG_HAB,HAZ,DSP_D,W01-05,NO	98 	64 	82 	97 	74 	79 
KG_HAB,HAZ,DSP_D,W01-05,PL	2 	1 	5 	13 	17 	14 
KG_HAB,HAZ,DSP_D,W01-05,PT	0 	0 	0 	0 	3 	5 
KG_HAB,HAZ,DSP_D,W01-05,RO	0 	1 	1 	0 	3 	1 
KG_HAB,HAZ,DSP_D,W01-05,RS	0 	0 	3 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W01-05,SE	5 	6 	1 	3 	8 	12 
KG_HAB,HAZ,DSP_D,W01-05,SI	0 	0 	0 	1 	0 	0 
KG_HAB,HAZ,DSP_D,W01-05,SK	4 	5 	4 	6 	6 	5 
KG_HAB,HAZ,DSP_D,W01-05,TR	: 	6 	8 	9 	0 	10 
KG_HAB,HAZ,DSP_D,W01-05,UK	1 	0 	0 	0 	3 	1 
KG_HAB,HAZ,DSP_D,W011,AT	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W011,BE	0 	0 e	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W011,BG	: 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W011,CY	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W011,CZ	0 	: c	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W011,DE	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W011,DK	0 	1 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W011,EE	0 	0 	0 	: 	: 	: 
