unit,hazard,wst_oper,waste,geo\time	2014 	2012 	2010 	2008 	2006 	2004 
KG_HAB,HAZ_NHAZ,DSP_O,W06,RS	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W06,SE	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W06,SI	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W06,SK	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W06,TR	: 	: 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W06,UK	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W061,AL	0 	: 	: 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W061,AT	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W061,BE	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W061,BG	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W061,CY	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W061,CZ	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W061,DE	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W061,DK	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W061,EE	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W061,EL	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W061,ES	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W061,EU28	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W061,FI	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W061,FR	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W061,HR	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W061,HU	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W061,IE	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W061,IS	0 b	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W061,IT	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W061,LT	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W061,LU	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W061,LV	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W061,MK	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W061,MT	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W061,NL	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W061,NO	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W061,PL	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W061,PT	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W061,RO	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W061,RS	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W061,SE	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W061,SI	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W061,SK	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W061,TR	: 	: 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W061,UK	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W062,AL	0 	: 	: 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W062,AT	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W062,BE	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W062,BG	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W062,CY	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W062,CZ	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W062,DE	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W062,DK	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W062,EE	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W062,EL	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W062,ES	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W062,EU28	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W062,FI	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W062,FR	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W062,HR	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W062,HU	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W062,IE	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W062,IS	0 b	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W062,IT	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W062,LT	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W062,LU	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W062,LV	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W062,MK	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W062,MT	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W062,NL	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W062,NO	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W062,PL	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W062,PT	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W062,RO	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W062,RS	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W062,SE	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W062,SI	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W062,SK	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W062,TR	: 	: 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W062,UK	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W063,AL	0 	: 	: 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W063,AT	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W063,BE	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W063,BG	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W063,CY	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W063,CZ	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W063,DE	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W063,DK	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W063,EE	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W063,EL	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W063,ES	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W063,EU28	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W063,FI	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W063,FR	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W063,HR	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W063,HU	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W063,IE	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W063,IS	0 b	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W063,IT	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W063,LT	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W063,LU	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W063,LV	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W063,MK	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W063,MT	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W063,NL	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W063,NO	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W063,PL	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W063,PT	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W063,RO	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W063,RS	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W063,SE	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W063,SI	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W063,SK	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W063,TR	: 	: 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W063,UK	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W06_07A,AL	0 	: 	: 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W06_07A,AT	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W06_07A,BE	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W06_07A,BG	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W06_07A,CY	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W06_07A,CZ	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W06_07A,DE	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W06_07A,DK	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W06_07A,EE	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W06_07A,EL	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W06_07A,ES	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W06_07A,EU28	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W06_07A,FI	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W06_07A,FR	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W06_07A,HR	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W06_07A,HU	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W06_07A,IE	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W06_07A,IS	9 b	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W06_07A,IT	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W06_07A,LT	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W06_07A,LU	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W06_07A,LV	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W06_07A,MK	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W06_07A,MT	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W06_07A,NL	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W06_07A,NO	6 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W06_07A,PL	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W06_07A,PT	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W06_07A,RO	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W06_07A,RS	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W06_07A,SE	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W06_07A,SI	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W06_07A,SK	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W06_07A,TR	: 	: 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W06_07A,UK	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W071,AL	0 	: 	: 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W071,AT	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W071,BE	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W071,BG	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W071,CY	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W071,CZ	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W071,DE	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W071,DK	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W071,EE	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W071,EL	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W071,ES	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W071,EU28	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W071,FI	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W071,FR	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W071,HR	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W071,HU	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W071,IE	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W071,IS	0 b	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W071,IT	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W071,LT	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W071,LU	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W071,LV	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W071,MK	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W071,MT	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W071,NL	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W071,NO	1 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W071,PL	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W071,PT	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W071,RO	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W071,RS	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W071,SE	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W071,SI	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W071,SK	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W071,TR	: 	: 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W071,UK	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W072,AL	0 	: 	: 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W072,AT	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W072,BE	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W072,BG	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W072,CY	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W072,CZ	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W072,DE	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W072,DK	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W072,EE	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W072,EL	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W072,ES	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W072,EU28	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W072,FI	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W072,FR	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W072,HR	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W072,HU	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W072,IE	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W072,IS	0 b	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W072,IT	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W072,LT	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W072,LU	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W072,LV	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W072,MK	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W072,MT	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W072,NL	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W072,NO	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W072,PL	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W072,PT	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W072,RO	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W072,RS	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W072,SE	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W072,SI	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W072,SK	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W072,TR	: 	: 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W072,UK	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W073,AL	0 	: 	: 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W073,AT	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W073,BE	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W073,BG	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W073,CY	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W073,CZ	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W073,DE	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W073,DK	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W073,EE	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W073,EL	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W073,ES	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W073,EU28	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W073,FI	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W073,FR	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W073,HR	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W073,HU	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W073,IE	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W073,IS	0 b	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W073,IT	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W073,LT	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W073,LU	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W073,LV	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W073,MK	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W073,MT	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W073,NL	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W073,NO	4 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W073,PL	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W073,PT	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W073,RO	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W073,RS	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W073,SE	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W073,SI	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W073,SK	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W073,TR	: 	: 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W073,UK	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W074,AL	0 	: 	: 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W074,AT	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W074,BE	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W074,BG	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W074,CY	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W074,CZ	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W074,DE	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W074,DK	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W074,EE	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W074,EL	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W074,ES	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W074,EU28	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W074,FI	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W074,FR	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W074,HR	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W074,HU	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W074,IE	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W074,IS	0 b	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W074,IT	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W074,LT	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W074,LU	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W074,LV	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W074,MK	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W074,MT	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W074,NL	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W074,NO	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W074,PL	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W074,PT	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W074,RO	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W074,RS	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W074,SE	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W074,SI	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W074,SK	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W074,TR	: 	: 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W074,UK	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W075,AL	0 	: 	: 	: 	: 	: 
KG_HAB,HAZ_NHAZ,DSP_O,W075,AT	0 	0 	0 	: 	: 	: 
